Param,Category_ID;
HEIGHT_CM,EG072;
COLOR,EG050;
COLOR,ND121;
COLOR,EG026;
COLOR,EF011;
COLOR,EF018;
HEIGHT_CM,EE031;
COLOR,ND107;
COLOR,ND350;
HEIGHT_CM,ND142;
COLOR,ND350;
HEIGHT_CM,ND401;
HEIGHT_MM,ND142;
COLOR,MP024FE;
HEIGHT_CM,NK103;
MATERIAL,NK047;
HEIGHT_CM,NK105;
COLOR,EB104;
MATERIAL,NK052;
COLOR,EB104;
MATERIAL,NK052;
COLOR,EB104;
HEIGHT_CM,NK053;
COLOR,EB104;
COLOR,ND134;
COLOR,ND217;
LENGTH_CM,NK043;
HEIGHT_CM,ND156;
MATERIAL,ND156;
HEIGHT_CM,ND156;
COLOR,ND121;
HEIGHT_CM,ND446;
COLOR,ND107;
MATERIAL,NA155;
COLOR,ND057;
COLOR,ND182;
HEIGHT_CM,NK105;
COLOR,ND051;
COLOR,ND107;
COLOR,MP118FE;
COLOR,ND107;
HEIGHT_CM,EA020;
COLOR,EB016;
HEIGHT_CM,EA020;
COLOR,ND107;
CONNECT_TO_V_CHAR,EB033;
COLOR,EB016;
COLOR,ND623;
COLOR,ND121;
LENGTH_CM,NK239;
COLOR,ND121;
COLOR,NM023;
MATERIAL,EB052;
COLOR,MP071CS;
COLOR,MP003CS;
COLOR,MP071CS;
COLOR,EB037;
COLOR,MP003CS;
MATERIAL,NL027;
COLOR,MP003CS;
COLOR,NL010;
MATERIAL,NL020;
HEIGHT_CM,NL020;
COLOR,NL011;
HEIGHT_CM,NK236;
HEIGHT_MM,NL020;
HEIGHT_CM,NL020;
COLOR,ND121;
COLOR,ND134;
HEIGHT_CM,NK236;
COLOR,ND182;
COLOR,EB104;
COLOR,EG026;
COLOR,EF011;
HEIGHT_MM,EG072;
COLOR,EG024;
COLOR,EF011;
HEIGHT_MM,EF034;
COLOR,EF018;
COLOR,ND158;
HEIGHT_MM,NK215;
COLOR,ND158;
HEIGHT_CM,NJ045;
COLOR,ND158;
MATERIAL,NJ045;
MATERIAL,NJ029;
COLOR,EG050;
HEIGHT_CM,NK105;
COLOR,EB104;
COLOR,EG050;
COLOR,NM023;
HEIGHT_CM,NA036;
COLOR,EG024;
MATERIAL,EB081;
HEIGHT_CM,ND401;
COLOR,ND122;
MATERIAL,EG241;
COLOR,ND217;
HEIGHT_CM,EA020;
HEIGHT_CM,NL020;
HEIGHT_CM,ND446;
COLOR,MP071CS;
HEIGHT_MM,NK005;
COLOR,EB104;
COLOR,ND107;
COLOR,EG044;
COLOR,ND182;
LENGTH_CM,NK196;
COLOR,ND122;
COLOR,MP071CS;
COLOR,ND107;
COLOR,ND538;
COLOR,MP114FE;
COLOR,ND107;
COLOR,NM023;
COLOR,ND107;
HEIGHT_CM,NK103;
LENGTH_CM,NK005;
COLOR,ND051;
MATERIAL,NB043;
COLOR,ND107;
MATERIAL,NA036;
COLOR,EG024;
COLOR,ND134;
MATERIAL,NK047;
HEIGHT_CM,EG241;
COLOR,ND121;
COLOR,ND158;
COLOR,EB037;
COLOR,EB104;
COLOR,MP003CS;
COLOR,ND107;
HEIGHT_CM,ND142;
COLOR,ND134;
COLOR,EB037;
COLOR,EF011;
COLOR,NL010;
COLOR,ND217;
MATERIAL,NA003;
COLOR,EF011;
COLOR,MP024FE;
MATERIAL,NL020;
MATERIAL,ND252;
COLOR,EB104;
COLOR,MP024FE;
HEIGHT_CM,ND142;
COLOR,MP024FE;
COLOR,EB104;
COLOR,MP061FE;
COLOR,ND158;
MATERIAL,NA155;
COLOR,MP061FE;
COLOR,ND071;
HEIGHT_MM,NK005;
COLOR,ND057;
MATERIAL,EE003;
HEIGHT_CM,NK011;
COLOR,ND134;
COLOR,EB104;
HEIGHT_MM,NK060;
COLOR,ND047;
MATERIAL,NA091;
COLOR,MP118FE;
COLOR,ND047;
COLOR,ND094;
CONNECT_TO_V_CHAR,EG037;
COLOR,EB026;
COLOR,ND134;
COLOR,EG024;
COLOR,ND121;
HEIGHT_CM,EG072;
COLOR,MP061FE;
COLOR,MP024FE;
COLOR,EF011;
COLOR,MP024FE;
COLOR,ND057;
COLOR,EF011;
COLOR,ND094;
COLOR,ND047;
HEIGHT_CM,EC023;
COLOR,ND057;
COLOR,ND047;
COLOR,EG050;
HEIGHT_MM,NL020;
COLOR,EG024;
HEIGHT_CM,NK077;
