id,shoprenter,mall,param,value
284,Ajándékozás,-,,
291,Ajándékozás > Egyéb kütyük,-,,
288,Ajándékozás > Játékok,-,,
170,Állat felszerelés,-,,
280,Állat felszerelés > Cicáknak,-,,
327,Állat felszerelés > Cicáknak > Játék,NJ014,CAT,YES
354,Állat felszerelés > Cicáknak > Kaparófa,NJ029,,
281,Állat felszerelés > Kutyáknak,-,,
356,Állat felszerelés > Kutyáknak > Szőrápolás,NJ045,DOG,YES
355,Állat felszerelés > Kutyáknak > Tisztasági,NJ004,DOG,YES
199,Autós felszerelés,-,,
208,Autós felszerelés > Autó javítási eszközök,ND142,,
202,Autós felszerelés > Autós kamerák,EE031,TO_CAR,YES
203,Autós felszerelés > Autós porszívók,ND350,,
207,"Autós felszerelés > Autós tárolás, rendezés",ND401,,
204,Autós felszerelés > Egyéb autós felszerelések,ND142,,
200,Autós felszerelés > Rádió,ED022,,
201,Autós felszerelés > Telefon és GPS tartók,EF018,DETERMINATION_PC_AND,mobiltelefon
292,Autós felszerelés > Üléshuzatok,ND335,,
360,Baba - mama,NF083,,
162,Gyógyászati eszközök,-,,
169,Gyógyászati eszközök > Egyéb egészségmegőrző termékek,NL020,,
282,Gyógyászati eszközök > Gyógy karkötők,-,,
271,Gyógyászati eszközök > Horkolásgátló,NL020,,
363,Gyógyászati eszközök > Lázmérők,NL020,,
262,Gyógyászati eszközök > Ülőpárna,NK076,,
268,Gyógyászati eszközök > Vérnyomásmérők,NL011,,
160,Lakberendezés,-,,
249,Lakberendezés > Ágynemű,-,,
342,Lakberendezés > Ágynemű > Párna,NK236,,
165,Lakberendezés > Ágynemű huzat,NK075,,
218,Lakberendezés > Ágynemű huzat > Fehér ágynemű huzat garnitúra és lepedő,NK075,,
166,Lakberendezés > Ágynemű huzat > Szivecskés mintás ágynemű huzatok,NK075,,
369,Lakberendezés > Cipősszekrény,NK196,CABINET_TYPE,cipő
246,Lakberendezés > Fürdőszobai kiegészítők,-,,
445,Lakberendezés > Fürdőszobai kiegészítők > Csaptelep hosszabbító,ND252,TYPE_OF_USE,Kádhoz
374,Lakberendezés > Fürdőszobai kiegészítők > Egyéb,NK009,BATHROOM_TYPE,Kiegészítők
