Prefix,Postfix,ParamName,ParamName2,ParamName3,ParamValue,Separator
mérete:,cm,WIDTH_CM,HEIGHT_CM,LENGTH_CM,,x
mérete:,cm,WIDTH_CM,HEIGHT_CM,LENGTH_CM,,*
méret:,cm,WIDTH_CM,HEIGHT_CM,LENGTH_CM,,x
méret:,cm,WIDTH_CM,HEIGHT_CM,LENGTH_CM,,*
méretek:,cm,WIDTH_CM,HEIGHT_CM,LENGTH_CM,,x
méretek:,cm,WIDTH_CM,HEIGHT_CM,LENGTH_CM,,*
méretek:,mm,WIDTH_MM,HEIGHT_MM,LENGTH_MM,,x
méretek:,mm,WIDTH_MM,HEIGHT_MM,LENGTH_MM,,*
mérete:,mm,WIDTH_MM,HEIGHT_MM,LENGTH_MM,,x
mérete:,mm,WIDTH_MM,HEIGHT_MM,LENGTH_MM,,*
méret:,mm,WIDTH_MM,HEIGHT_MM,LENGTH_MM,,x
méret:,mm,WIDTH_MM,HEIGHT_MM,LENGTH_MM,,*
szín:,,COLOR,,,,
színe:,,COLOR,,,,
anyag:,,MATERIAL,,,,
anyaga:,,MATERIAL,,,,
tápellátás:,v,CONNECT_TO_V_CHAR,,,,
űrtartalom:,l,VOLUME_L,,,,
